id,name,artwork_type,artist_name,street,neighborhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
11290291569,gewachsen auf beton,,,,0106,11001001,,,,,,,52.5520151,13.381437
11299501017,stehendes mädchen,sculpture,fritz röll,,0404,11004004,,muschelkalk,1913,,Q116139491,,52.4796327,13.2703354
11307840027,weltall-erde-mensch,sculpture,karl blümel,,1001,11010010,,stone,,file:skulptur im park am bäckerpfuhl in berlin-marzahn 2v2.jpg,Q108151307,category:weltall-erde-mensch (karl blümel),52.5405,13.5647058
11330527140,erkenntnis,mural,el bocho,,0202,11002002,,,,https://pixelfed.de/storage/m/_v2/615797448648714432/bf4779419-8cf74f/fpcjkh7ohm78/bloiclmajneszxvdoe2qwtwtxfiosf9vjcxvo5bb.jpg,,,52.4987365,13.4006982
11341591559,bürger im widerstand,sculpture,achim kühn,,1103,11011011,,steel,2010,,Q111987257,,52.5114068,13.4820043
11359921923,solidarität,sculpture,,,0909,11009009,,,,,Q112862227,,52.465422,13.5459918
11362264201,pelikangruppe,statue,erich f. reuter,,0405,11004004,,bronze,1960,file:skulptur karolingerplatz 1a (westend) pelikanpaar&ernst-otto eichwald &1963.jpg,Q113621151,category:fountain with pelican group (erich fritz reuter),52.5080187,13.2701606
11375835878,bring them home,mural,benzi brofman,,0101,11001001,,,2023-11-23,file:mural bring them home benzi auguststraße 92 berlin-mitte 04.jpg,Q123541615,"category:bring them home (benzi, berlin-mitte)",52.5259355,13.3902007
11377880374,peace wall,mural,svenja teichert,,0101,11001001,,,2013-09,file:mosaik große hamburger straße 25 berlin-mitte.jpg,Q123555741,category:cityarts berlin peace wall,52.5241365,13.399612
11380414886,kletterturm und throne,sculpture,anne ochmann,,0301,11003003,,klinker,2001,,Q123565929,file:skulptur t-park skatepark prenzlauer berg berlin-prenzlauer berg.jpg,52.5288773,13.4191657
11382505511,pankower marktleben,mural,dieter gantz,,0307,11003003,,,1987,,Q116695284,file:murals berliner str 1 (panko) pankow market life dieter gantz 1987.jpg,52.5704677,13.4100813
